"motusRecvID","recvProjectID","receiverID","receiverType","motusDeviceID","recvDeployID","deploymentStatus","test","deploymentName","siteName","dtStart","dtEnd","tsStart","tsEnd","fixtureType","latitude","longitude","elevation","isMobile","macAddress"
"2327","174","SG-4002BBBK2550","SENSORGNOME","229","4452","terminated","false","MiraMar","E. MiraMar","2017-12-08 00:00:00 +00:00","2018-01-16 10:00:00 +00:00","1512691200","1516096800","Tower","-52.54730000","-69.31910000","","false","0"
"2327","174","SG-4002BBBK2550","SENSORGNOME","229","4482","terminated","false","MiraMar","E. MiraMar","2018-01-16 10:01:00 +00:00","2018-06-30 23:59:00 +00:00","1516096860","1530403140.0000002","Tower","-52.54730000","-69.31910000","","false","0"
"2327","174","SG-4002BBBK2550","SENSORGNOME","229","5185","pending","","MiraMar","E. MiraMar","","","","","Tower","-52.54730000","-69.31910000","","false","0"
"2328","174","SG-1315BBBK0085","SENSORGNOME","969","4453","terminated","false","E. Pepita","E. Pepita","2017-12-08 00:00:00 +00:00","2018-05-21 23:59:00 +00:00","1512691200","1526947140.0000002","Tower","-52.46930000","-69.38490000","","false","0"
"2328","174","SG-1315BBBK0085","SENSORGNOME","969","5184","active","false","E. Pepita","E. Pepita","2019-02-10 00:00:00 +00:00","","1549756800","","Tower","-52.46930000","-69.38490000","","false","0"
"2336","174","SG-0815BBBK0176","","821","4479","terminated","false","E. El Pantano","E. El Pantano","2018-01-17 00:00:00 +00:00","2018-06-30 23:59:00 +00:00","1516147200","1530403140.0000002","Tower","-52.68580000","-69.06080000","","false","0"
"2336","174","SG-0815BBBK0176","","821","5183","active","false","E. El Pantano","E. El Pantano","2019-02-05 18:20:00 +00:00","","1549390800.0000002","","Tower","-52.68580000","-69.06080000","","false","0"
"2337","174","SG-1315BBBK0105","","802","4481","terminated","false","Punta Catalina","Punta Catalina","2018-01-17 00:00:00 +00:00","2018-05-22 23:59:00 +00:00","1516147200","1527033540.0000002","Tower","-52.55060000","-68.77330000","","false","0"
"2337","174","SG-1315BBBK0105","","802","5182","active","false","S. Pepita","Pepita","2019-02-06 00:00:00 +00:00","","1549411200","","Tower","-52.48490000","-69.37450000","","false","0"
"2497","174","SG-3214BBBK6871","SENSORGNOME","647","4677","terminated","false","Buque Quemado","Buque Quemado","2018-02-25 00:00:00 +00:00","2018-05-12 23:59:00 +00:00","1519516800","1526169540.0000002","Tower","-52.41910000","-69.58420000","9.0","false","0"
"2497","174","SG-3214BBBK6871","SENSORGNOME","647","5178","terminated","false","Buque Quemado","Buque Quemado","2018-10-05 00:00:00 +00:00","2019-02-10 22:40:00 +00:00","1538697600","1549838400","Tower","-52.41910000","-69.58420000","9.0","false","0"
"2497","174","SG-3214BBBK6871","SENSORGNOME","647","5180","active","false","Buque Quemado","Buque Quemado","2019-02-10 22:40:00 +00:00","","1549838400","","Tower","-52.41910000","-69.58420000","9.0","false","0"
"3029","174","SG-D414RPI33D62","","","5208","active","false","Lagoa De Peixe - Brazil","Lagoa De Peixe - Brazil","2019-04-25 00:00:00 +00:00","","1556150400","","Tower","-31.32400000","-50.99690000","2.0","false",""
